"productId","image_url","filename","sha256","source"
"p001","/images/products/p001.jpg?v=1770958220527","p001.jpg","3f620346e29fb1bf5472ae9a9129a9a50db616edf0b93f54bd52db62bc02fcb7","local"
"p002","/images/products/p002.jpg?v=1770958220556","p002.jpg","6a07902fbb499fa2d1fb13ebe332286f25cdd652b5aa77ab02ad7da8f1a9b313","local"
"p003","/images/products/p003.jpg?v=1770958220684","p003.jpg","1256e6b31497f7c7982258e4b706cb9af97819972e3eb4daefab26d0a855ad46","local"
"p004","/images/products/p004.jpg?v=1770958220693","p004.jpg","354d1d0674cff4c80d4254abc5ea6bda0ac1170fbd8d3ea56774c95797058bc6","local"
"p005","/images/products/p005.jpg?v=1770958220738","p005.jpg","ec9d752782bdc2925b782939325ab7402d3287da270f0f518369c0c5afdbc0a7","local"
"p006","/images/products/p006.jpg?v=1770958220808","p006.jpg","b6c58a52a8c87b241bbb8891f0593ab7aed9b1b81383125d82e2bb2bb3c56c2f","local"
"p007","/images/products/p007.jpg?v=1770958220843","p007.jpg","ae30257722132dca4e977fe4320ffdc9a36973dee4788083f2a73be4066fe74b","local"
"p039","/images/products/p039.jpg?v=1770958220846","p039.jpg","1256e6b31497f7c7982258e4b706cb9af97819972e3eb4daefab26d0a855ad46","local"
"p040","/images/products/pp_pin_p040_jjmayk.png?v=1770958220873","pp_pin_p040_jjmayk.png","12787c3bab930c11f02c57758471da60cb4c6d2cfb22f6ca717ad0e79860c600","pinterest"
"p041","/images/products/p041.jpg?v=1770958220889","p041.jpg","e77fb22dbbe19b41264f5a99af883353297641ed0bc7efbc82547ab99d5e267c","local"
"p042","/images/products/p042.jpg?v=1770958220891","p042.jpg","660d6f4304e20f1d13b095c9eb496ecfa6b79de35e1f7902761af87d98af5a29","local"
"p043","/images/products/pp_pin_p043_purxzy.png?v=1770958220940","pp_pin_p043_purxzy.png","12787c3bab930c11f02c57758471da60cb4c6d2cfb22f6ca717ad0e79860c600","pinterest"
"p044","/images/products/p044.jpg?v=1770958220943","p044.jpg","e77fb22dbbe19b41264f5a99af883353297641ed0bc7efbc82547ab99d5e267c","local"
"p045","/images/products/p045.jpg?v=1770958220968","p045.jpg","1256e6b31497f7c7982258e4b706cb9af97819972e3eb4daefab26d0a855ad46","local"
"p046","/images/products/pp_pin_p046_0j830m.png?v=1770958221020","pp_pin_p046_0j830m.png","12787c3bab930c11f02c57758471da60cb4c6d2cfb22f6ca717ad0e79860c600","pinterest"
"p047","/images/products/pp_pin_p047_qzovi8.png?v=1770958221023","pp_pin_p047_qzovi8.png","12787c3bab930c11f02c57758471da60cb4c6d2cfb22f6ca717ad0e79860c600","pinterest"
"p048","/images/products/p048.jpg?v=1770958221039","p048.jpg","6a07902fbb499fa2d1fb13ebe332286f25cdd652b5aa77ab02ad7da8f1a9b313","local"
"p049","/images/products/pp_pin_p049_sywdf8.png?v=1770958221126","pp_pin_p049_sywdf8.png","12787c3bab930c11f02c57758471da60cb4c6d2cfb22f6ca717ad0e79860c600","pinterest"
"p050","/images/products/p050.jpg?v=1770958221130","p050.jpg","660d6f4304e20f1d13b095c9eb496ecfa6b79de35e1f7902761af87d98af5a29","local"
"p051","/images/products/p051.jpg?v=1770958221136","p051.jpg","346e94641aaab6557cabbd8c982a93022dc18a8bb1b7d0a746990f2d5b787c0d","local"
"p052","/images/products/pp_pin_p052_qyipbt.png?v=1770958221144","pp_pin_p052_qyipbt.png","12787c3bab930c11f02c57758471da60cb4c6d2cfb22f6ca717ad0e79860c600","pinterest"
"p053","/images/products/p053.jpg?v=1770958221159","p053.jpg","ec9d752782bdc2925b782939325ab7402d3287da270f0f518369c0c5afdbc0a7","local"
"p054","/images/products/p054.jpg?v=1770958221161","p054.jpg","660d6f4304e20f1d13b095c9eb496ecfa6b79de35e1f7902761af87d98af5a29","local"
"p055","/images/products/pp_pin_p055_wl33ke.png?v=1770958221182","pp_pin_p055_wl33ke.png","12787c3bab930c11f02c57758471da60cb4c6d2cfb22f6ca717ad0e79860c600","pinterest"
"p056","/images/products/p056.jpg?v=1770958221185","p056.jpg","ec9d752782bdc2925b782939325ab7402d3287da270f0f518369c0c5afdbc0a7","local"
"p057","/images/products/p057.jpg?v=1770958221192","p057.jpg","64b45f63dec078351d8c112be60975f342fa49be468f0177144e987092b66949","local"
"p058","/images/products/pp_pin_p058_rt1s83.png?v=1770958221196","pp_pin_p058_rt1s83.png","12787c3bab930c11f02c57758471da60cb4c6d2cfb22f6ca717ad0e79860c600","pinterest"
"p059","/images/products/pp_pin_p059_4uaurr.png?v=1770958221210","pp_pin_p059_4uaurr.png","12787c3bab930c11f02c57758471da60cb4c6d2cfb22f6ca717ad0e79860c600","pinterest"
"p060","/images/products/p060.jpg?v=1770958221212","p060.jpg","1256e6b31497f7c7982258e4b706cb9af97819972e3eb4daefab26d0a855ad46","local"
"p061","/images/products/p061.jpg?v=1770958221225","p061.jpg","3f620346e29fb1bf5472ae9a9129a9a50db616edf0b93f54bd52db62bc02fcb7","local"
